experiment,training_corpus,test_corpus,comparison,n_participants,n_pos,n_neg,model,feature_set,n_features,AUROC,AUROC_95CI,AUPRC,balanced_accuracy,bacc_95CI,sensitivity,sens_95CI,specificity,spec_95CI,F1,Brier
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Random Forest,age_only,1,0.8881,"(0.752, 0.99)",0.8131,0.8875,"(0.786, 0.975)",0.9875,"(0.96, 1.0)",0.7875,"(0.585, 0.969)",0.8977,0.1077
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,HistGradientBoosting,age_only,1,0.9014,"(0.781, 0.986)",0.8157,0.8562,"(0.757, 0.94)",0.8375,"(0.705, 0.95)",0.875,"(0.729, 0.987)",0.8535,0.1384
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Dummy,age_only,1,0.6125,"(0.5, 0.719)",0.5689,0.6125,"(0.5, 0.719)",0.6125,"(0.45, 0.771)",0.6125,"(0.459, 0.756)",0.6125,0.3875
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Elastic-Net,v1_v2_age,22,0.9136,"(0.806, 0.985)",0.8943,0.8375,"(0.729, 0.928)",0.9,"(0.757, 1.0)",0.775,"(0.6, 0.92)",0.8471,0.1152
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Random Forest,v1_v2_age,22,0.855,"(0.692, 0.987)",0.7501,0.825,"(0.709, 0.927)",0.85,"(0.72, 0.96)",0.8,"(0.6, 0.969)",0.8293,0.1675
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,HistGradientBoosting,v1_v2_age,22,0.8844,"(0.761, 0.979)",0.8352,0.8313,"(0.722, 0.932)",0.8875,"(0.789, 0.971)",0.775,"(0.571, 0.953)",0.8402,0.1646
Eigsti Within-Corpus,Eigsti,Eigsti,TD vs DD,32,16,16,Dummy,v1_v2_age,22,0.6125,"(0.5, 0.719)",0.5689,0.6125,"(0.5, 0.719)",0.6125,"(0.45, 0.771)",0.6125,"(0.459, 0.756)",0.6125,0.3875
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Elastic-Net,V1_only,13,0.4879,"(0.234, 0.75)",0.3658,0.5097,"(0.372, 0.63)",0.8889,"(0.636, 1.0)",0.1304,"(0.0, 0.296)",0.4324,0.4416
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Random Forest,V1_only,13,0.343,"(0.132, 0.583)",0.2651,0.4879,"(0.353, 0.587)",0.8889,"(0.636, 1.0)",0.087,"(0.0, 0.217)",0.4211,0.3653
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V1_only,13,0.5072,"(0.256, 0.749)",0.3154,0.5072,"(0.314, 0.689)",0.6667,"(0.333, 1.0)",0.3478,"(0.166, 0.542)",0.4,0.484
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Dummy,V1_only,13,0.4952,"(0.285, 0.684)",0.2793,0.4952,"(0.285, 0.684)",0.5556,"(0.2, 0.875)",0.4348,"(0.227, 0.636)",0.3704,0.5312
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Elastic-Net,V2_only,8,0.6715,"(0.449, 0.884)",0.4827,0.5918,"(0.396, 0.789)",0.4444,"(0.125, 0.8)",0.7391,"(0.556, 0.909)",0.4211,0.2293
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Random Forest,V2_only,8,0.6715,"(0.44, 0.873)",0.4875,0.5459,"(0.407, 0.722)",0.2222,"(0.0, 0.5)",0.8696,"(0.714, 1.0)",0.2857,0.1966
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V2_only,8,0.5459,"(0.295, 0.794)",0.3677,0.558,"(0.389, 0.746)",0.3333,"(0.0, 0.667)",0.7826,"(0.609, 0.952)",0.3529,0.2971
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Dummy,V2_only,8,0.4952,"(0.285, 0.684)",0.2793,0.4952,"(0.285, 0.684)",0.5556,"(0.2, 0.875)",0.4348,"(0.227, 0.636)",0.3704,0.5312
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Elastic-Net,V1_plus_V2,21,0.5556,"(0.312, 0.793)",0.3745,0.5097,"(0.375, 0.619)",0.8889,"(0.667, 1.0)",0.1304,"(0.0, 0.286)",0.4324,0.4056
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Random Forest,V1_plus_V2,21,0.4831,"(0.263, 0.715)",0.3088,0.4976,"(0.333, 0.654)",0.7778,"(0.5, 1.0)",0.2174,"(0.08, 0.393)",0.4118,0.2941
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V1_plus_V2,21,0.4493,"(0.189, 0.72)",0.3352,0.4614,"(0.276, 0.667)",0.4444,"(0.142, 0.778)",0.4783,"(0.278, 0.68)",0.32,0.456
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Dummy,V1_plus_V2,21,0.4952,"(0.285, 0.684)",0.2793,0.4952,"(0.285, 0.684)",0.5556,"(0.2, 0.875)",0.4348,"(0.227, 0.636)",0.3704,0.5312
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Elastic-Net,age_only,1,0.9855,"(0.943, 1.0)",0.9675,0.9227,"(0.79, 1.0)",0.8889,"(0.625, 1.0)",0.9565,"(0.857, 1.0)",0.8889,0.0511
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Random Forest,age_only,1,0.9686,"(0.897, 1.0)",0.9432,0.9227,"(0.79, 1.0)",0.8889,"(0.625, 1.0)",0.9565,"(0.857, 1.0)",0.8889,0.0625
